repository_name,issue_count
google/site-kit-wp,132
TeamNewPipe/NewPipe,143
space-wizards/space-station-14,121
lichess-org/lila,120
microsoft/WSL,219
python/mypy,105
filecoin-project/filecoin-plus-large-datasets,200
postmanlabs/postman-app-support,146
bounswe/bounswe2022group2,308
charliermarsh/ruff,394
xbmc/xbmc,104
studio-minus/ppg-bugs-and-requests,175
US-EPA-CAMD/easey-ui,180
Azure/azure-sdk-for-python,159
kubernetes/website,252
MicrosoftDocs/azure-devops-docs,202
LmeSzinc/AzurLaneAutoScript,117
gitextensions/gitextensions,127
chromiecraft/chromiecraft,270
argoproj/argo-cd,170
duckdb/duckdb,146
Mbed-TLS/mbedtls,103
react-native-community/cli,143
AvaloniaUI/Avalonia,150
PygmalionOfCyprus/cmo-db-requests,162
exaloop/codon,100
cityofaustin/atd-data-tech,323
apache/dolphinscheduler,184
Hex-Dragon/PCL2,308
lumapu/ahoy,113
openhab/openhab-addons,159
TheGameCreators/GameGuruRepo,175
filecoin-project/venus,114
JuliaLang/julia,174
rust-lang/rust,682
kubefirst/kubefirst,202
cloudnative-pg/cloudnative-pg,125
openjournals/joss-reviews,102
microsoft/vscode-python,325
apache/doris,195
RockChinQ/QChatGPT,104
open-metadata/OpenMetadata,331
johnsoncodehk/volar,166
cilium/cilium,205
tauri-apps/tauri,176
magma/magma,187
freeCodeCamp/freeCodeCamp,113
fullcalendar/fullcalendar,133
mozilla-mobile/fenix,946
taosdata/TDengine,264
pybricks/support,108
microsoft/vscode,5246
angular/angular,179
slowtorta/turtlewow-bug-tracker,207
FerretDB/FerretDB,102
siyuan-note/siyuan,410
PowerShell/PowerShell,135
fjordllc/bootcamp,143
bevyengine/bevy,129
firebase/flutterfire,172
jitpack/jitpack.io,197
nuxt/framework,249
ArctosDB/arctos,184
tiangolo/fastapi,119
go-gitea/gitea,194
paperless-ngx/paperless-ngx,110
truecharts/charts,118
Radarr/Radarr,149
Dolibarr/dolibarr,213
ParabolInc/parabol,154
rubocop/rubocop,110
wandb/wandb,156
frappe/frappe,118
mui/material-ui,304
EddieHubCommunity/support,397
freescout-helpdesk/freescout,152
the-djmaze/snappymail,129
apache/servicecomb-java-chassis,277
elastic/beats,201
helix-editor/helix,280
ledgerwatch/erigon,138
reapit/foundations,134
CDCgov/prime-reportstream,265
ruffle-rs/ruffle,277
Alexey-T/CudaText,168
PostHog/posthog,173
nextauthjs/next-auth,187
provectus/kafka-ui,131
GoogleChrome/web.dev,107
AutumnWhj/ChatGPT-wechat-bot,129
department-of-veterans-affairs/va.gov-team,1792
Nexus-Mods/Vortex,220
gravitee-io/issues,213
dagster-io/dagster,105
scylladb/scylladb,181
4GeeksAcademy/About-4Geeks-Academy,227
silverbulletmd/silverbullet,115
flix/flix,102
NervJS/taro,133
vcmi/vcmi,140
github/docs,108
coder/coder,211
chatwoot/chatwoot,109
opensearch-project/OpenSearch,135
project-chip/connectedhomeip,323
ZLMediaKit/ZLMediaKit,124
antvis/X6,125
osmosis-labs/osmosis,127
solidjs/solid-start,113
tachiyomiorg/tachiyomi,238
tuskyapp/Tusky,145
osmandapp/OsmAnd,277
vectordotdev/vector,515
woocommerce/woocommerce-ios,150
uBlockOrigin/uAssets,532
dbt-labs/dbt-core,138
expo/expo,257
decentraland/unity-renderer,221
NVIDIA/TensorRT,209
languagetool-org/languagetool,113
flutter/flutter-intellij,153
supabase/supabase,185
yairm210/Unciv,101
MiCode/Xiaomi_Kernel_OpenSource,174
TheCheatsrichter/Gw2_Launchbuddy,125
LAION-AI/Open-Assistant,172
dotnet/runtime,871
AirSkyBoat/AirSkyBoat,480
misskey-dev/misskey,182
microsoft/microsoft-ui-xaml,116
primefaces/primevue,146
chaotic-aur/packages,154
rokwire/illinois-app,363
rancher/fleet,171
rancher/rke2,124
tr7zw/ItemSwapper,104
lightdash/lightdash,150
datafuselabs/databend,202
coolsnowwolf/lede,231
yugabyte/yugabyte-db,356
WongKinYiu/yolov7,134
PrestaShop/PrestaShop,235
numpy/numpy,142
jomjol/AI-on-the-edge-device,187
ScoopInstaller/Extras,272
tusen-ai/naive-ui,138
MeteorDevelopment/meteor-client,101
wowsims/wotlk,128
evanw/esbuild,188
paritytech/substrate,120
kata-containers/kata-containers,131
Icalingua-plus-plus/Icalingua-plus-plus,101
Scirra/Construct-3-bugs,110
appsmithorg/appsmith,960
mastodon/mastodon,567
netbox-community/netbox,232
microsoft/pylance-release,139
k3s-io/k3s,129
rectorphp/rector,121
JunkFood02/Seal,108
Clueless-Community/seamless-ui,804
localstack/localstack,179
Automattic/sensei,173
cockroachdb/docs,227
openxla/stablehlo,134
moby/moby,125
fuergaosi233/wechat-chatgpt,522
Kenshin/simpread,252
PixelExperience/android-issues,354
cov-lineages/pango-designation,176
ankidroid/Anki-Android,130
vegaprotocol/frontend-monorepo,168
ultralytics/yolov5,373
opencollective/opencollective,103
glpi-project/glpi,197
IntelOrca/biorand,120
cocos/cocos-engine,106
Darkest-Hour-Hoi4/Darkest-Hour-Issues,114
wjz304/Redpill_CustomBuild,7044
thingsboard/thingsboard,168
ppy/osu,202
invoke-ai/InvokeAI,333
centerofci/mathesar,174
lencx/ChatGPT,113
tachiyomiorg/tachiyomi-extensions,416
friendica/friendica,236
invertase/notifee,122
SubtitleEdit/subtitleedit,110
kubernetes/minikube,125
lampepfl/dotty,127
mikf/gallery-dl,302
python-poetry/poetry,163
backend-br/vagas,161
decentraland/sdk,138
WeMakeDevs/wemakedevs,117
Zero6992/chatGPT-discord-bot,112
scipy/scipy,149
nymtech/nym,784
PrismLauncher/PrismLauncher,145
rails/rails,119
unoplatform/uno,127
tgstation/tgstation,325
m4dm4rtig4n/myelectricaldata,111
type-challenges/type-challenges,1171
opensearch-project/OpenSearch-Dashboards,100
goharbor/harbor,134
red-prig/fpps4-game-compatibility,563
spring-projects/spring-framework,154
vlang/v,172
quarto-dev/quarto-cli,102
PluginBugs/Issues-ItemsAdder,110
Start9Labs/embassy-os,105
NomicFoundation/hardhat,201
bazelbuild/bazel,193
OpenSID/OpenSID,187
coronasafe/care_fe,290
GCTC-NTGC/gc-digital-talent,167
MystenLabs/sui,127
DGP-Studio/Snap.Hutao,133
openwrt/openwrt,135
oven-sh/bun,105
microsoft/vscode-jupyter,501
nerfstudio-project/nerfstudio,103
milvus-io/milvus,416
FuelLabs/sway,146
open-formulieren/open-forms,100
FrancescoXX/4c-site,110
flutter/flutter,1663
dotnet/efcore,296
hazelcast/hazelcast,109
alibaba/nacos,150
eiksch/statev_v2_issues,111
HarbourMasters/Shipwright,240
ophub/amlogic-s9xxx-armbian,233
gradio-app/gradio,146
godotengine/godot-proposals,130
w3c/epubcheck,108
Joystream/pioneer,138
audacity/audacity,140
AllTheMods/ATM-8,243
rustdesk/rustdesk,146
microsoft/TypeScript,392
PipedreamHQ/pipedream,169
acheong08/ChatGPT,436
wowmw/bugtracker,186
al-one/hass-xiaomi-miot,204
antvis/G2,176
PaddlePaddle/PaddleOCR,332
eclipse/sumo,259
bryntum/support,303
Kaiserreich/Kaiserreich-4,359
vercel/next.js,468
badmojr/1Hosts,166
OpenBB-finance/OpenBBTerminal,117
objectionary/eo,112
dcloudio/uni-app,106
zadam/trilium,108
symfony/symfony,278
apache/hop,245
PaddlePaddle/PaddleSeg,463
Satellite-im/Uplink,125
apache/incubator-devlake,229
skeletonlabs/skeleton,126
the-canonizer/Canonizer-Beta--Issue-Tracking,147
primefaces/primefaces,101
m1guelpf/chatgpt-telegram,109
bcgov/cas-cif,102
ballerina-platform/ballerina-lang,198
llvm/llvm-project,758
pingcap/tiflash,107
lowRISC/opentitan,150
dotnet/AspNetCore.Docs,183
tukui-org/ElvUI,141
bitnami/charts,227
IntelRealSense/librealsense,107
wong2/chat-gpt-google-extension,193
dotnet/perf-autofiling-issues,990
iotaledger/firefly,201
longhorn/longhorn,253
apache/superset,155
calcom/cal.com,339
vitejs/vite,260
spring-projects/spring-security,203
primefaces/primereact,145
treeverse/lakeFS,187
Shweta2024/JavaScript-Projects,120
wallabyjs/console-ninja,118
okp4/networks,309
microsoft/vcpkg,348
roc-lang/roc,130
nopSolutions/nopCommerce,125
